Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Temp,Pres,Alti,Lat,Lng
-0.5684,-0.0294,9.662799999999999,0.1786,0.038,-0.0988,114.0,1333.0,-152.0,30.49,1009.3023828125,32.91857450518424,0.0,0.0
-0.5781999999999999,-0.0294,9.662799999999999,-0.1026,0.1064,-0.133,109.0,1336.0,-155.0,30.49,1009.278515625,33.117916135364624,0.0,0.0
-0.5781999999999999,-0.0196,9.662799999999999,-0.3914,-0.1672,0.6574,115.0,1337.0,-160.0,30.49,1009.288828125,33.0317844225932,0.0,0.0
-0.5684,-0.0294,9.653,0.0456,0.1824,-0.3344,109.0,1338.0,-158.0,30.49,1009.268515625,33.20143847675996,0.0,0.0
-0.5684,-0.0098,9.662799999999999,-0.665,-0.3686,0.836,108.0,1335.0,-155.0,30.49,1009.268515625,33.20143847675996,0.0,0.0
-0.5684,-0.0294,9.6726,-0.1216,-0.1102,-0.0836,114.0,1334.0,-150.0,30.49,1009.2649609375,33.231128220480834,0.0,0.0
-0.5684,-0.0196,9.653,-0.133,0.2356,-0.3192,111.0,1333.0,-155.0,30.49,1009.2549609375,33.31465147014614,0.0,0.0
-0.5684,-0.0196,9.6824,-0.4104,0.0114,-0.2964,113.0,1334.0,-150.0,30.49,1009.2859375,33.055927330812565,0.0,0.0
-0.5684,-0.0294,9.662799999999999,-0.57,-0.057,0.399,115.0,1337.0,-156.0,30.5,1009.293671875,32.99132886406598,0.0,0.0
-0.5684,-0.0294,9.662799999999999,-0.4218,-0.0874,0.7676,112.0,1335.0,-150.0,30.5,1009.3004296875,32.9348870974859,0.0,0.0
-0.5684,-0.0196,9.6726,-0.2432,-0.4028,0.8474,112.0,1335.0,-157.0,30.5,1009.308125,32.870615631853944,0.0,0.0
-0.5684,-0.0196,9.653,-0.6308,-0.0646,-0.323,111.0,1333.0,-157.0,30.51,1009.284921875,33.06440998753428,0.0,0.0
-0.5684,-0.0294,9.6726,-0.7296,-0.5396,0.4712,111.0,1336.0,-155.0,30.5,1009.2810546875,33.096709397534624,0.0,0.0
-0.5684,-0.0196,9.662799999999999,0.1216,0.5472,-1.0374,111.0,1336.0,-155.0,30.51,1009.2613671875,33.26114431119385,0.0,0.0
-0.5684,-0.0196,9.653,-0.4902,-0.5738,0.2888,112.0,1335.0,-153.0,30.51,1009.28265625,33.08333286204122,0.0,0.0
-0.5684,-0.0196,9.662799999999999,-0.3914,0.1444,-0.3496,107.0,1333.0,-154.0,30.51,1009.28265625,32.85691313719195,0.0,0.0
-0.5684,-0.0196,9.662799999999999,0.0494,0.0722,0.3762,110.0,1328.0,-157.0,30.52,1009.2571875,33.29605443859853,0.0,0.0
-0.5781999999999999,-0.0196,9.662799999999999,-1.0184,-0.6384,0.0722,108.0,1337.0,-157.0,30.52,1009.2910546875,33.01318789632849,0.0,0.0
-0.5684,-0.0196,9.662799999999999,0.1368,-0.0418,-0.836,110.0,1336.0,-155.0,30.53,1009.2926171875,33.00013772229187,0.0,0.0
-0.5781999999999999,-0.0196,9.662799999999999,0.6156,0.19,-0.5282,110.0,1336.0,-155.0,30.53,1009.3332421875,33.05657984262314,0.0,0.0
-0.5781999999999999,-0.0196,9.6726,0.4484,-0.285,-0.1368,112.0,1331.0,-163.0,30.54,1009.316796875,32.79818836434933,0.0,0.0
-0.5684,-0.0196,9.6726,-0.456,0.4788,-0.0836,114.0,1333.0,-156.0,30.54,1009.2829296875,33.08104906501729,0.0,0.0
-0.5684,-0.0294,9.6726,0.3002,0.2014,-0.3762,108.0,1336.0,-162.0,30.53,1009.3023046875,32.9192270083869,0.0,0.0
-0.5684,-0.0196,9.662799999999999,-0.57,-0.4066,0.6004,113.0,1336.0,-159.0,30.52,1009.2639453125,33.239611019954104,0.0,0.0
-0.5781999999999999,-0.0294,9.6726,0.3382,0.19,-0.6764,110.0,1331.0,-169.0,30.54,1009.2829296875,33.08104906501729,0.0,0.0
-0.5684,-0.0294,9.662799999999999,0.3382,0.19,-0.6764,110.0,1331.0,-169.0,30.53,1009.2684765625,33.20176473722021,0.0,0.0
-0.5684,-0.0294,9.662799999999999,-0.1444,0.2584,0.2204,115.0,1336.0,-157.0,30.53,1009.2684765625,33.20176473722021,0.0,0.0
-0.5781999999999999,-0.0294,9.6726,-0.2356,0.0228,-0.4446,111.0,1334.0,-160.0,30.52,1009.256484375,33.301927181813106,0.0,0.0
-0.5684,-0.0294,9.653,-0.6384,-0.1558,0.3268,111.0,1333.0,-158.0,30.45,1009.1769921875,33.96589478835743,0.0,0.0
-0.5781999999999999,-0.0196,9.653,0.152,-0.1368,-0.8968,111.0,1334.0,-165.0,30.53,1009.281328125,33.094425597577406,0.0,0.0
-0.5684,-0.0294,9.662799999999999,-0.247,-0.2812,-0.399,114.0,1332.0,-164.0,30.54,1009.266484375,33.218404034232016,0.0,0.0
-0.5781999999999999,-0.0196,9.662799999999999,0.076,-0.1444,-0.2014,116.0,1332.0,-155.0,30.55,1009.3048828125,32.89769442433454,0.0,0.0
-0.5684,-0.0196,9.653,0.0912,-0.3002,-0.3648,108.0,1331.0,-161.0,30.54,1009.266484375,33.218404034232016,0.0,0.0
-0.5781999999999999,-0.0196,9.662799999999999,-0.3002,0.1064,0.6384,110.0,1333.0,-169.0,30.54,1009.29453125,32.98415128139231,0.0,0.0
-0.5684,-0.0196,9.653,-0.0076,0.4256,-0.6802,108.0,1337.0,-158.0,30.55,1009.3019140625,32.92248952500556,0.0,0.0
-0.5781999999999999,-0.0294,9.6726,0.4712,-0.171,-0.0722,111.0,1333.0,-155.0,30.55,1009.292265625,33.003074010022466,0.0,0.0
-0.5684,-0.0196,9.662799999999999,-0.2812,0.247,-0.6042,107.0,1338.0,-159.0,30.55,1009.3364453125,32.63408700527467,0.0,0.0
-0.5781999999999999,-0.0294,9.653,-0.0836,0.2128,0.0152,112.0,1337.0,-156.0,30.55,1009.312578125,32.83342318830594,0.0,0.0
-0.5684,-0.0196,9.662799999999999,0.1368,0.6954,-0.9386,114.0,1335.0,-159.0,30.55,1009.31546875,32.809280796069075,0.0,0.0
