MilliTime,Phase,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Temp,Pres,Alti,Lat,Lng,Distance,Azimuth,Angle,Direction
1709342378343,4.0,9.5354,0.2352,-0.7742,-0.152,0.2166,0.1368,136.0,-53.0,131.0,28.3,1007.27,49.90565168244806,0.0,0.0,15414056.188277926,57.92717072420846,-73.95925601185787,180
1709342384480,4.0,9.5354,0.245,-0.7742,-0.152,0.0228,0.1748,135.0,-51.0,132.0,28.3,1007.24,49.5710385920097,0.0,0.0,15414056.188277926,58.35625428582462,-73.95925601185787,180
1709342385133,5.0,9.5452,0.25479999999999997,-0.784,-0.1748,-0.114,-0.0038,136.0,-50.0,132.0,28.4,1007.29,49.73834379234244,0.0,0.0,15414056.188277926,58.14490260373327,-73.95925601185787,180
1709342387223,5.0,9.5452,0.245,-0.7742,0.1824,-0.0798,0.1254,135.0,-50.0,131.0,28.4,1007.19,50.240275532361814,0.0,0.0,15414056.188277926,58.13847426543274,-73.95925601185787,180
1709342387286,5.0,9.5452,0.245,-0.7742,-0.1368,-0.0912,0.1216,135.0,-50.0,131.0,28.4,1007.29,49.73834379234244,0.0,0.0,15414056.188277926,58.13847426543274,-73.95925601185787,180
1709342387686,5.0,9.5354,0.245,-0.784,-0.0646,-0.0874,0.2242,135.0,-53.0,131.0,28.4,1007.23,49.73834379234244,0.0,0.0,15414056.188277926,58.13847426543274,-73.95925601185787,180
1709342387855,5.0,9.5452,0.245,-0.7742,0.0722,0.19,0.1216,135.0,-48.0,132.0,28.4,1007.35,50.742231482920936,0.0,0.0,15414056.188277926,58.35625428582462,-73.95925601185787,180
1709342388036,5.0,9.5354,0.245,-0.7742,-0.1444,-0.1026,0.0532,137.0,-54.0,132.0,28.4,1007.34,49.73834379234244,0.0,0.0,15414056.188277926,57.935145306541045,-73.95925601185787,180
1709342388193,5.0,9.5354,0.245,-0.7742,-0.0988,-0.2888,0.1102,135.0,-52.0,133.0,28.4,1007.34,49.73834379234244,0.0,0.0,15414056.188277926,58.572427493166586,-73.95925601185787,180
1709342389860,5.0,9.5354,0.245,-0.784,-0.209,0.2014,0.1444,135.0,-52.0,131.0,28.4,1007.25,49.5710385920097,0.0,0.0,15414056.188277926,58.13847426543274,-73.95925601185787,180
1709342390010,5.0,9.5354,0.245,-0.7742,-0.019,0.0608,0.1444,136.0,-51.0,131.0,28.4,1007.23,49.82199740117241,0.0,0.0,15414056.188277926,57.92717072420846,-73.95925601185787,180
