MilliTime,Phase,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Temp,Pres,Alti,Lat,Lng,Distance,Azimuth,Angle,Direction
1709438469687,4.0,9.525599999999999,0.9702,-0.6762,-0.3192,-0.304,0.1482,198.0,-9.0,73.0,25.0,1005.47,64.47174555303317,0.0,0.0,15413989.987274304,-110.23826822556711,-163.95905609506548,180
1709438469747,4.0,9.525599999999999,0.9603999999999999,-0.6467999999999999,-0.4484,-0.0684,0.1748,197.0,-9.0,74.0,25.0,1005.47,64.72306401846201,0.0,0.0,15413989.987274304,-110.58791161202248,-163.95905609506548,180
1709438469822,5.0,9.6138,0.9702,-0.7056,-22.4504,6.1256,-5.8444,190.0,15.0,83.0,25.0,1005.46,64.47174555303317,38.26156833333334,140.85402333333334,15413989.987274304,-113.59773134916736,-163.95905609506548,180
1709438469885,5.0,9.4962,2.989,-0.5488,-34.675,5.9128,-2.1584,190.0,15.0,83.0,25.0,1005.47,65.72839859840343,38.26156833333334,140.85402333333334,8.322579202460716,-113.59773134916736,-3.832128804546585,180
1709438469945,5.0,9.4864,1.6562,-0.5292,-28.0364,-2.8994,-1.5656,194.0,10.0,82.0,25.0,1005.44,64.47174555303317,38.26156833333334,140.85402333333334,8.322579202460716,-112.91282839677166,-3.832128804546585,180
1709438470007,5.0,9.525599999999999,1.47,-0.6664,-27.0826,-1.5276,-5.054,205.0,9.0,82.0,25.0,1005.41,65.47705584502762,38.26156833333334,140.85402333333334,8.322579202460716,-111.80140948635182,-3.832128804546585,180
1709438470068,5.0,9.2022,1.764,-0.5781999999999999,-24.9052,3.477,4.4498,205.0,9.0,82.0,25.0,1005.5,65.30949738306569,38.26156833333334,140.85402333333334,8.322579202460716,-111.80140948635182,-3.832128804546585,180
1709438470129,5.0,9.8196,1.5974,-1.0094,-19.7486,2.5422,3.5758,219.0,14.0,79.0,25.0,1005.43,64.47174555303317,38.26156833333334,140.85402333333334,8.322579202460716,-109.8359250267057,-3.832128804546585,180
1709438470189,5.0,9.163,1.6758,-0.637,-25.555,11.02,-12.4944,219.0,14.0,79.0,25.0,1005.56,64.47174555303317,38.26156833333334,140.85402333333334,8.322579202460716,-109.8359250267057,-3.832128804546585,180
1709438470249,5.0,9.456999999999999,1.519,-0.5586,-28.8534,-9.1276,-1.8278,215.0,5.0,73.0,25.0,1005.49,64.47174555303317,38.26156833333334,140.85402333333334,8.322579202460716,-108.75414206399654,-3.832128804546585,180
1709438470312,5.0,9.5844,1.4014,-0.4018,-33.5806,-0.608,-11.1226,220.0,9.0,80.0,25.0,1005.5,64.72306401846201,38.26156833333334,140.85402333333334,8.322579202460716,-109.98310652189997,-3.832128804546585,180
1709438470373,5.0,9.4766,1.3524,-1.2838,-33.212,5.1262,-15.3938,220.0,9.0,80.0,25.0,1005.44,64.05289493530665,38.26156833333334,140.85402333333334,8.322579202460716,-109.98310652189997,-3.832128804546585,180
1709438470435,5.0,9.261,1.4504,-0.49,-29.6856,-7.5316,-6.5398,219.0,5.0,80.0,25.0,1005.55,65.05816475030473,38.26156833333334,140.85402333333334,8.322579202460716,-110.06708708398418,-3.832128804546585,180
1709438470498,5.0,9.261,1.4504,-0.5586,-26.5012,-21.6182,8.949,228.0,1.0,75.0,25.0,1005.58,64.30420328230585,38.26156833333334,140.85402333333334,8.322579202460716,-108.20848447058083,-3.832128804546585,180
1709438470560,5.0,8.967,1.47,-0.5586,-22.5112,2.7284,1.0868,228.0,1.0,75.0,25.0,1005.53,65.56083608808532,38.26156833333334,140.85402333333334,8.322579202460716,-108.20848447058083,-3.832128804546585,180
1709438470623,5.0,9.9274,1.0877999999999999,-1.0486,-27.5994,-15.2304,-13.8928,229.0,6.0,72.0,25.0,1005.49,64.72306401846201,38.26156833333334,140.85402333333334,8.322579202460716,-107.453694132294,-3.832128804546585,180
1709438470687,5.0,9.4962,1.1858,-0.6762,-29.7502,10.5374,2.5726,229.0,6.0,72.0,25.0,1005.53,64.55551770024964,38.26156833333334,140.85402333333334,8.322579202460716,-107.453694132294,-3.832128804546585,180
1709438470749,5.0,9.5158,1.3132,-1.0094,-32.2848,-2.5498,5.4416,233.0,-3.0,78.0,25.0,1005.41,65.30949738306569,38.26156833333334,140.85402333333334,8.322579202460716,-108.50868852418165,-3.832128804546585,180
1709438470810,5.0,9.4178,1.2348,-0.882,-19.931,-6.631,-8.265,232.0,3.0,73.0,25.0,1005.53,64.80683818947269,38.26156833333334,140.85402333333334,8.322579202460716,-107.46645182483581,-3.832128804546585,180
1709438470871,5.0,9.8784,1.2935999999999999,-1.3328,-37.0348,17.9322,-17.3318,232.0,3.0,73.0,25.0,1005.43,64.47174555303317,38.26156833333334,140.85402333333334,8.322579202460716,-107.46645182483581,-3.832128804546585,180
1709438470932,5.0,9.702,1.5386,-0.5488,-48.6666,12.2018,13.9954,241.0,3.0,79.0,25.0,1005.46,65.72839859840343,38.26156833333334,140.85402333333334,8.322579202460716,-108.14918670604547,-3.832128804546585,180
1709438470995,5.0,9.5452,1.2544,-1.421,-29.2372,4.028,10.5678,242.0,-1.0,75.0,25.0,1005.53,65.22571916413195,38.26156833333334,140.85402333333334,8.322579202460716,-107.21911605696334,-3.832128804546585,180
1709438471058,5.0,9.555,1.3426,-0.9995999999999999,-29.9934,2.1508,-0.7068,242.0,-1.0,75.0,25.0,1005.47,64.55551770024964,38.26156833333334,140.85402333333334,8.322579202460716,-107.21911605696334,-3.832128804546585,180
1709438471127,5.0,9.045399999999999,1.1466,-0.6467999999999999,-32.9004,-5.833,-8.4056,243.0,2.0,76.0,25.0,1005.14,65.22571916413195,38.26156833333334,140.85402333333334,8.322579202460716,-107.36744913918182,-3.832128804546585,180
1709438471193,5.0,10.0842,1.3719999999999999,-0.6664,-42.7272,-21.2762,6.9692,243.0,1.0,82.0,25.0,1005.43,64.80683818947269,38.26156833333334,140.85402333333334,8.322579202460716,-108.6468927865871,-3.832128804546585,180
1709438471254,5.0,9.4276,1.3132,-0.7545999999999999,-40.7132,5.2136,-29.811,246.0,1.0,82.0,24.9,1005.05,64.97438855538665,38.26156833333334,140.85402333333334,8.322579202460716,-108.43494882292202,-3.832128804546585,180
1709438471318,5.0,9.4374,0.9995999999999999,-1.1368,-37.5364,-9.576,-16.4578,260.0,2.0,87.0,25.0,1005.38,65.97974742458912,38.26156833333334,140.85402333333334,8.322579202460716,-108.5010338910945,-3.832128804546585,180
1709438471384,5.0,9.0846,0.9309999999999999,-1.0976,-27.1472,12.597,21.5764,260.0,2.0,87.0,25.0,1005.56,64.30420328230585,38.26156833333334,140.85402333333334,8.322579202460716,-108.5010338910945,-3.832128804546585,180
1709438471452,5.0,9.555,1.2152,-0.8036,-40.2762,-14.9682,-4.5752,261.0,6.0,80.0,25.0,1005.38,64.80683818947269,38.26156833333334,140.85402333333334,8.322579202460716,-107.04100447958518,-3.832128804546585,180
1709438471515,5.0,9.3002,1.2935999999999999,-0.2254,-40.8462,5.833,-8.8502,267.0,2.0,80.0,25.0,1005.38,65.22571916413195,38.26156833333334,140.85402333333334,8.322579202460716,-106.67955496345832,-3.832128804546585,180
1709438471577,5.0,9.31,1.176,-1.2544,-27.1244,-1.444,24.8862,267.0,2.0,80.0,25.0,1005.44,64.80683818947269,38.26156833333334,140.85402333333334,8.322579202460716,-106.67955496345832,-3.832128804546585,180
1709438471641,5.0,9.388399999999999,1.274,-0.9603999999999999,-26.2846,13.7788,-28.9066,271.0,3.0,84.0,25.0,1005.49,65.22571916413195,38.26156833333334,140.85402333333334,8.322579202460716,-107.22150730009014,-3.832128804546585,180
1709438471704,5.0,9.731399999999999,0.7938,-0.539,-33.934,6.3916,-13.5774,274.0,-2.0,85.0,25.0,1005.26,65.72839859840343,38.26156833333334,140.85402333333334,8.322579202460716,-107.23488199344561,-3.832128804546585,180
1709438471771,5.0,9.731399999999999,1.2152,-0.49,-41.9748,2.5384,-3.344,274.0,-2.0,85.0,25.0,1005.4,64.05289493530665,38.26156833333334,140.85402333333334,8.322579202460716,-107.23488199344561,-3.832128804546585,180
