MilliTime,Phase,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Temp,Pres,Alti,Lat,Lng,Distance,Azimuth,Angle,Direction
1709193330285,4.0,0.0098,0.7742,9.8294,-0.1786,-0.1064,-0.0722,158.0,-42.0,-241.0,35.3,1015.1,-14.891931767240177,0.0,0.0,14469841.099452531,104.88626684901756,-76.48623620500258,180
1709193330343,4.0,0.0196,0.7742,9.8294,-0.4028,-0.2698,0.2166,158.0,-49.0,-235.0,35.2,1015.07,-15.224469388771551,0.0,0.0,14469841.099452531,107.23005271393976,-76.48623620500258,180
1709193330404,5.0,0.0196,0.7742,9.8294,-0.057,-0.0722,-0.0646,159.0,-44.0,-235.0,35.3,1015.01,-15.224469388771551,0.0,0.0,14469841.099452531,105.46833965209113,-76.48623620500258,180
