MilliTime,Phase,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Temp,Pres,Alti,Lat,Lng,Distance,Azimuth,Angle,Direction
1709203689082,4.0,3.6456,-4.8118,6.203399999999999,6.0002,31.2018,30.9624,158.0,-69.0,-265.0,32.0,1015.39,-18.299939500344554,0.0,0.0,14469841.099452531,113.59132009459788,-76.48623620500258,180
1709203689139,4.0,3.5181999999999998,-4.8216,6.8894,-13.5584,14.4286,32.8396,158.0,-69.0,-265.0,32.0,1015.34,-17.55193569836598,0.0,0.0,14469841.099452531,113.59132009459788,-76.48623620500258,180
1709203689191,4.0,3.0869999999999997,-4.5668,8.8298,-43.6392,0.9082,37.43,164.0,-79.0,-259.0,32.0,1015.39,-17.8843884600785,0.0,0.0,14469841.099452531,115.72045713165843,-76.48623620500258,180
1709203689249,4.0,2.597,-4.8118,8.8788,-75.658,-13.8472,19.4864,164.0,-79.0,-259.0,32.0,1015.4,-18.549262172060214,0.0,0.0,14469841.099452531,115.72045713165843,-76.48623620500258,180
1709203689302,4.0,2.1266,-5.0764,8.1732,-81.7874,-2.1774,9.88,167.0,-83.0,-244.0,32.1,1015.44,-18.050610864365307,0.0,0.0,14469841.099452531,116.4276514895927,-76.48623620500258,180
1709203689355,4.0,3.038,-5.7428,7.5558,-84.094,7.4632,3.6594,167.0,-83.0,-244.0,32.1,1015.39,-18.299939500344554,0.0,0.0,14469841.099452531,116.4276514895927,-76.48623620500258,180
1709203689408,4.0,2.8028,-6.3504,5.733,-72.675,31.4336,-18.0348,174.0,-90.0,-222.0,32.1,1015.48,-17.30258916769624,0.0,0.0,14469841.099452531,117.34987578006988,-76.48623620500258,180
1709203689461,4.0,2.8028,-6.3504,5.733,-42.0584,40.489,2.2838,174.0,-90.0,-222.0,32.1,1015.39,-17.71816340478148,0.0,0.0,14469841.099452531,117.34987578006988,-76.48623620500258,180
1709203689511,4.0,3.7828,-6.8208,3.5181999999999998,-7.8242,57.0646,17.3128,178.0,-84.0,-207.0,32.1,1015.39,-17.96749999359449,0.0,0.0,14469841.099452531,115.26309850449911,-76.48623620500258,180
1709203689563,4.0,3.3222,-6.9482,3.6652,-7.809,65.1662,13.1062,178.0,-84.0,-207.0,32.1,1015.41,-17.55193569836598,0.0,0.0,14469841.099452531,115.26309850449911,-76.48623620500258,180
1709203689616,4.0,1.3719999999999999,-7.154,3.9592,-11.761,63.3042,-5.5214,187.0,-80.0,-209.0,32.1,1015.42,-17.96749999359449,0.0,0.0,14469841.099452531,113.16160163595075,-76.48623620500258,180
1709203689686,5.0,2.1462,-7.2226,2.6264,-23.5752,64.0718,29.203,189.0,-76.0,-210.0,32.1,1015.35,-17.80127626381734,0.0,0.0,14469841.099452531,111.90586840345586,-76.48623620500258,180
1709203689756,5.0,0.7252,-6.997199999999999,1.9305999999999999,-25.9958,24.0388,23.8716,189.0,-76.0,-210.0,32.1,1015.39,-17.96749999359449,0.0,0.0,14469841.099452531,111.90586840345586,-76.48623620500258,180
1709203689824,5.0,-1.2838,-7.252,2.7439999999999998,-21.2496,-10.488,-7.4594,190.0,-84.0,-203.0,32.1,1015.41,-17.30258916769624,0.0,0.0,14469841.099452531,113.85047390807692,-76.48623620500258,180
1709203689886,5.0,-1.7444,-8.222199999999999,2.94,15.314,-53.4432,-40.1318,191.0,-82.0,-204.0,32.1,1015.48,-17.71816340478148,0.0,0.0,14469841.099452531,113.23478493682671,-76.48623620500258,180
1709203689949,5.0,-1.7346,-9.4668,3.7534,52.4324,-53.0214,-45.641799999999996,191.0,-82.0,-204.0,32.1,1015.42,-17.71816340478148,0.0,0.0,14469841.099452531,113.23478493682671,-76.48623620500258,180
1709203690012,5.0,1.3524,-9.7412,6.5072,26.2808,11.2822,-32.9498,197.0,-73.0,-208.0,32.1,1015.45,-18.216830617730498,0.0,0.0,14469841.099452531,110.332608771966,-76.48623620500258,180
1709203690073,5.0,3.4985999999999997,-8.5554,7.7223999999999995,-1.4858,67.773,-23.5296,197.0,-73.0,-208.0,32.1,1015.36,-18.549262172060214,0.0,0.0,14469841.099452531,110.332608771966,-76.48623620500258,180
1709203690139,5.0,2.401,-6.9188,6.0172,6.897,54.3438,-52.269,197.0,-62.0,-212.0,32.1,1015.48,-17.71816340478148,0.0,0.0,14469841.099452531,107.469873830377,-76.48623620500258,180
1709203690203,5.0,1.0094,-6.8502,5.292,19.912,21.9792,-52.592,190.0,-50.0,-216.0,32.1,1015.5,-18.050610864365307,0.0,0.0,14469841.099452531,104.74356283647073,-76.48623620500258,180
1709203690265,5.0,2.1069999999999998,-7.0854,5.292,1.7062,26.5202,-23.56,190.0,-50.0,-216.0,32.1,1015.48,-17.80127626381734,0.0,0.0,14469841.099452531,104.74356283647073,-76.48623620500258,180
1709203690329,5.0,3.3222,-7.0854,5.0862,0.7486,27.9338,-4.028,189.0,-42.0,-217.0,32.1,1015.41,-17.053236671493142,0.0,0.0,14469841.099452531,102.52880770915151,-76.48623620500258,180
1709203690391,5.0,1.9991999999999999,-6.9874,4.8608,19.6118,0.5016,-30.362,188.0,-35.0,-220.0,32.1,1015.38,-17.80127626381734,0.0,0.0,14469841.099452531,100.54603401309022,-76.48623620500258,180
1709203690453,5.0,2.4499999999999997,-6.223,5.3508,12.7642,10.4386,-7.0984,188.0,-35.0,-220.0,32.1,1015.38,-18.466155277494646,0.0,0.0,14469841.099452531,100.54603401309022,-76.48623620500258,180
1709203690516,5.0,1.4504,-6.134799999999999,5.8702,24.7456,5.3504,-26.5012,186.0,-36.0,-221.0,32.1,1015.32,-18.050610864365307,0.0,0.0,14469841.099452531,100.95406264339833,-76.48623620500258,180
1709203690577,5.0,1.9207999999999998,-5.8408,6.4974,5.1376,-21.633399999999998,-33.896,184.0,-30.0,-225.0,32.1,1015.41,-18.050610864365307,0.0,0.0,14469841.099452531,99.26022153117148,-76.48623620500258,180
1709203690642,5.0,2.1952,-5.782,5.928999999999999,7.1668,-22.42,-23.4042,184.0,-30.0,-225.0,32.1,1015.41,-17.71816340478148,0.0,0.0,14469841.099452531,99.26022153117148,-76.48623620500258,180
1709203690702,5.0,3.4398,-5.8309999999999995,6.272,-2.3408,-55.1722,6.498,181.0,-24.0,-223.0,32.1,1015.39,-17.71816340478148,0.0,0.0,14469841.099452531,97.55316977502925,-76.48623620500258,180
1709203690767,5.0,3.9494,-6.125,5.6937999999999995,4.5828,-10.2676,16.5832,181.0,-24.0,-223.0,32.1,1015.42,-18.050610864365307,0.0,0.0,14469841.099452531,97.55316977502925,-76.48623620500258,180
1709203690829,5.0,3.8024,-6.1053999999999995,6.5072,-14.0562,-0.342,43.3998,181.0,-27.0,-221.0,32.1,1015.51,-18.050610864365307,0.0,0.0,14469841.099452531,98.48432213497041,-76.48623620500258,180
1709203690889,5.0,3.1555999999999997,-6.321,5.654599999999999,-5.5062,-17.4838,45.828,185.0,-35.0,-221.0,32.1,1015.45,-17.96749999359449,0.0,0.0,14469841.099452531,100.71312302279104,-76.48623620500258,180
1709203690953,5.0,3.1555999999999997,-6.3504,5.5762,-8.4284,-0.0912,65.1966,185.0,-35.0,-221.0,32.1,1015.42,-18.299939500344554,0.0,0.0,14469841.099452531,100.71312302279104,-76.48623620500258,180
1709203691014,5.0,2.3422,-6.5954,6.419,-43.0198,2.9032,53.4736,191.0,-53.0,-218.0,32.1,1015.45,-18.050610864365307,0.0,0.0,14469841.099452531,105.5086381968298,-76.48623620500258,180
1709203691075,5.0,1.7933999999999999,-7.007,5.3704,-33.2082,-8.9452,55.3508,192.0,-65.0,-211.0,32.1,1015.44,-17.71816340478148,0.0,0.0,14469841.099452531,108.70310183936547,-76.48623620500258,180
1709203691136,5.0,0.98,-7.4382,4.0278,4.6854,4.5752,34.6826,192.0,-65.0,-211.0,32.1,1015.35,-18.549262172060214,0.0,0.0,14469841.099452531,108.70310183936547,-76.48623620500258,180
1709203691195,5.0,0.9995999999999999,-7.4578,4.9196,6.5284,-4.864,29.431,193.0,-73.0,-211.0,32.1,1015.44,-18.299939500344554,0.0,0.0,14469841.099452531,110.71853990448906,-76.48623620500258,180
1709203691257,5.0,1.0976,-7.5264,5.4586,-3.2414,-9.1048,28.0212,193.0,-73.0,-211.0,32.1,1015.32,-18.216830617730498,0.0,0.0,14469841.099452531,110.71853990448906,-76.48623620500258,180
1709203691323,5.0,0.7448,-7.742,5.2332,-12.35,-38.9614,28.1808,189.0,-78.0,-213.0,32.1,1015.41,-17.55193569836598,0.0,0.0,14469841.099452531,112.4258619213518,-76.48623620500258,180
1709203691387,5.0,0.6272,-7.693,5.0764,-18.6618,-54.3818,16.0474,194.0,-89.0,-210.0,32.1,1015.36,-17.468820850956806,0.0,0.0,14469841.099452531,114.64390046570477,-76.48623620500258,180
1709203691451,5.0,0.9603999999999999,-7.7812,4.3511999999999995,-5.9736,-32.6116,14.9758,194.0,-89.0,-210.0,32.1,1015.36,-17.80127626381734,0.0,0.0,14469841.099452531,114.64390046570477,-76.48623620500258,180
1709203691514,5.0,0.8526,-7.957599999999999,4.263,5.4454,-35.3058,1.4098,193.0,-92.0,-208.0,32.1,1015.36,-17.71816340478148,0.0,0.0,14469841.099452531,115.48638780324464,-76.48623620500258,180
1709203691576,5.0,0.9995999999999999,-7.9184,4.361,8.8844,-20.9684,-4.1724,194.0,-94.0,-212.0,32.1,1015.44,-17.71816340478148,0.0,0.0,14469841.099452531,115.8518625420604,-76.48623620500258,180
1709203691636,5.0,1.4602,-7.9184,4.6452,14.9188,-4.921,-6.441,194.0,-94.0,-212.0,32.1,1015.38,-18.466155277494646,0.0,0.0,14469841.099452531,115.8518625420604,-76.48623620500258,180
1709203691700,5.0,1.078,-7.8498,4.5864,25.9844,11.913,-32.642,196.0,-94.0,-213.0,32.1,1015.45,-16.803878209431854,0.0,0.0,14469841.099452531,115.62199594460698,-76.48623620500258,180
1709203691763,5.0,1.0877999999999999,-7.3107999999999995,4.8412,25.858999999999998,7.6266,-78.7892,196.0,-94.0,-217.0,32.1,1015.53,-17.38570534073356,0.0,0.0,14469841.099452531,115.62199594460698,-76.48623620500258,180
1709203691824,5.0,1.4798,-7.154,5.0078,27.5044,19.5206,-81.0996,192.0,-82.0,-217.0,32.1,1015.42,-18.050610864365307,0.0,0.0,14469841.099452531,113.1265203887488,-76.48623620500258,180
1709203691886,5.0,2.1069999999999998,-6.468,5.1842,41.7924,-0.722,-109.3298,191.0,-63.0,-220.0,32.1,1015.53,-18.549262172060214,0.0,0.0,14469841.099452531,108.2547740095538,-76.48623620500258,180
1709203691948,5.0,3.4888,-5.9192,5.8212,23.8716,-34.618,-67.8414,191.0,-63.0,-220.0,32.1,1015.48,-18.050610864365307,0.0,0.0,14469841.099452531,108.2547740095538,-76.48623620500258,180
1709203692010,5.0,5.8506,-5.1057999999999995,6.5758,-11.8142,-33.098,-17.6206,185.0,-41.0,-221.0,32.1,1015.41,-17.71816340478148,0.0,0.0,14469841.099452531,102.49601104443751,-76.48623620500258,180
1709203692070,5.0,5.6448,-5.635,5.448799999999999,0.6004,-6.9958,-3.3364,191.0,-36.0,-219.0,32.1,1015.38,-18.299939500344554,0.0,0.0,14469841.099452531,100.67398122022252,-76.48623620500258,180
1709203692131,5.0,5.242999999999999,-5.6056,5.1743999999999994,-2.6296,-21.2572,2.755,191.0,-36.0,-219.0,32.1,1015.41,-18.466155277494646,0.0,0.0,14469841.099452531,100.67398122022252,-76.48623620500258,180
1709203692193,5.0,4.998,-5.5565999999999995,4.9784,8.816,5.3998,-0.361,186.0,-37.0,-218.0,32.1,1015.38,-17.71816340478148,0.0,0.0,14469841.099452531,101.25068143049515,-76.48623620500258,180
1709203692257,5.0,4.8216,-5.1548,5.448799999999999,-3.42,-16.7732,-12.1752,186.0,-37.0,-218.0,32.1,1015.38,-17.80127626381734,0.0,0.0,14469841.099452531,101.25068143049515,-76.48623620500258,180
1709203692322,5.0,4.459,-4.9882,6.3308,-27.0066,-4.1078,-31.3082,185.0,-37.0,-220.0,32.1,1015.39,-17.71816340478148,0.0,0.0,14469841.099452531,101.30993247402021,-76.48623620500258,180
1709203692385,5.0,5.2822,-5.2822,5.1352,-9.557,1.995,-34.9144,181.0,-31.0,-218.0,32.1,1015.38,-17.30258916769624,0.0,0.0,14469841.099452531,99.71879220282563,-76.48623620500258,180
1709203692451,5.0,5.791799999999999,-5.4193999999999996,3.8514,7.6266,-6.7412,-15.7358,181.0,-31.0,-218.0,32.1,1015.36,-17.55193569836598,0.0,0.0,14469841.099452531,99.71879220282563,-76.48623620500258,180
1709203692511,5.0,5.9878,-5.2822,4.361,8.6868,-2.831,-7.942,177.0,-22.0,-214.0,32.1,1015.35,-18.050610864365307,0.0,0.0,14469841.099452531,97.0851722805589,-76.48623620500258,180
1709203692572,5.0,5.8995999999999995,-4.8804,5.1842,-3.8494,-5.6544,3.8684,180.0,-23.0,-214.0,32.1,1015.36,-17.053236671493142,0.0,0.0,14469841.099452531,97.28166880753507,-76.48623620500258,180
1709203692643,5.0,5.8408,-4.6844,5.39,7.296,-18.4034,28.7432,180.0,-23.0,-214.0,32.1,1015.25,-18.466155277494646,0.0,0.0,14469841.099452531,97.28166880753507,-76.48623620500258,180
1709203692708,5.0,6.37,-5.311599999999999,4.5276,14.4894,-22.876,48.127,182.0,-27.0,-215.0,32.1,1015.36,-17.55193569836598,0.0,0.0,14469841.099452531,98.43837797782393,-76.48623620500258,180
1709203692771,5.0,5.791799999999999,-5.380199999999999,5.0568,1.0488,13.588799999999999,53.0784,191.0,-34.0,-218.0,32.1,1015.35,-17.55193569836598,0.0,0.0,14469841.099452531,100.09352136152258,-76.48623620500258,180
1709203692832,5.0,4.7236,-5.439,5.2038,-17.3508,26.6988,50.8858,191.0,-34.0,-218.0,32.1,1015.33,-17.468820850956806,0.0,0.0,14469841.099452531,100.09352136152258,-76.48623620500258,180
1709203692895,5.0,4.312,-5.8114,4.7334,-17.4648,10.1954,59.1546,191.0,-48.0,-217.0,32.1,1015.42,-18.050610864365307,0.0,0.0,14469841.099452531,104.1068047370731,-76.48623620500258,180
