MilliTime,Phase,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Temp,Pres,Alti,Lat,Lng,Distance,Azimuth,Angle,Direction
1709533578758,2.0,1.8326,0.392,9.3002,0.228,-0.3534,0.1862,33.0,70.0,-217.0,9.1,1011.18,21.16817000116668,0.0,0.0,15414066.02651566,-64.75947073521321,-73.95935119818134,180
1709533578936,2.0,-0.1862,-0.1372,9.6334,-44.9046,36.9512,-100.3732,27.0,62.0,-216.0,9.1,1010.78,17.498160709123912,0.0,0.0,15414066.02651566,-66.46765143909899,-73.95935119818134,180
1709533579121,2.0,1.323,-0.3528,8.1046,-0.494,29.9364,-124.3664,1e-07,51.0,-215.0,9.1,1011.15,16.83102522552823,0.0,0.0,15414066.02651566,-89.99999988765533,-73.95935119818134,180
1709533579286,2.0,1.3034,1.3328,9.6236,-31.8706,-5.6696,-119.6962,-33.0,27.0,-217.0,9.1,1011.24,16.49747350912121,38.261195,140.85512666666668,46.20402791283906,39.28940686250036,106.56439422688624,180
1709533579445,2.0,1.9404,1.0388,9.5746,-11.913,28.823,-117.9178,-23.0,3.0,-220.0,9.2,1011.2,17.498160709123912,38.261195,140.85512666666668,46.20402791283906,7.431407971172507,106.56439422688624,180
1709533579579,2.0,0.9702,1.0388,8.7906,-3.7392,39.9836,-122.8388,-28.0,-39.0,-225.0,9.2,1011.24,16.83102522552823,38.261195,140.85512666666668,46.20402791283906,-54.32359177813802,106.56439422688624,180
1709533579722,2.0,-0.49,2.8028,9.9274,-34.656,-9.8306,-90.0524,-28.0,-76.0,-227.0,9.1,1011.2,16.74763629489307,38.261195,140.85512666666668,46.20402791283906,-69.77514056883192,106.56439422688624,180
1709533579882,2.0,0.2842,1.6268,9.506,24.5974,38.6574,-87.9472,-5.0,-90.0,-232.0,9.2,1011.23,16.580860436706786,38.261195,140.85512666666668,46.20402791283906,-86.82016988013577,106.56439422688624,180
1709533580037,2.0,0.196,2.5578,9.7608,37.4718,-38.0798,-94.5858,2.0,-108.0,-230.0,9.2,1011.2,17.331372831641048,38.261195,140.85512666666668,46.20402791283906,88.93908830973577,106.56439422688624,180
1709533580172,2.0,-0.9016,2.5284,8.5848,-21.5878,-21.6752,-88.7832,27.0,-98.0,-247.0,9.2,1009.92,16.41408724920242,38.261195,140.85512666666668,46.20402791283906,74.59657503753037,106.56439422688624,180
1709533580341,2.0,0.7056,1.029,9.5158,11.001,50.388,-102.4746,42.0,-110.0,-239.0,9.2,1011.21,17.081196023734655,38.26119666666666,140.855135,46.955099640506575,69.10223450116113,106.52799759502207,180
1709533580505,2.0,-0.3724,1.5288,8.4672,23.0812,-78.945,-100.3314,67.0,-116.0,-235.0,9.2,1011.21,17.247979894572055,38.26119666666666,140.855135,46.955099640506575,59.98986235968179,106.52799759502207,180
1709533580672,2.0,1.5777999999999999,3.6064,9.849,-40.7398,18.0424,-61.1192,81.0,-106.0,-237.0,9.2,1011.2,16.99780508993672,38.26119666666666,140.855135,46.955099640506575,52.61471194203102,106.52799759502207,180
1709533580838,2.0,2.6656,2.548,9.5452,-22.3098,44.5398,-124.5146,115.0,-76.0,-235.0,9.2,1011.2,17.247979894572055,38.26119666666666,140.855135,46.955099640506575,33.45950225339066,106.52799759502207,180
1709533580997,2.0,0.2842,0.41159999999999997,8.2418,-18.354,11.0656,-124.5032,126.0,-48.0,-223.0,9.2,1011.23,16.49747350912121,38.26119666666666,140.855135,46.955099640506575,20.854458039578347,106.52799759502207,180
1709533581141,2.0,-0.0686,2.0482,9.9078,32.1252,-31.73,-77.1058,129.0,-29.0,-225.0,9.2,1011.17,17.331372831641048,38.26119666666666,140.855135,46.955099640506575,12.66981426494965,106.52799759502207,180
1709533581278,2.0,0.7938,1.1368,9.868599999999999,-37.9658,2.261,-106.2822,119.0,12.0,-224.0,9.2,1011.27,16.49747350912121,38.26119666666666,140.85514166666667,47.51402926936089,-5.75826016436676,106.32809539368543,180
1709533581454,2.0,2.3324,0.7056,8.770999999999999,-19.7448,-14.3336,-123.956,112.0,31.0,-226.0,9.2,1011.13,16.49747350912121,38.26119666666666,140.85514166666667,47.51402926936089,-15.471328165520145,106.32809539368543,180
1709533581602,2.0,2.8322,1.8521999999999998,9.6432,-21.9602,18.0538,-86.1536,84.0,46.0,-230.0,9.2,1011.17,17.831744477843195,38.26119666666666,140.85514166666667,47.51402926936089,-28.705952543401093,106.32809539368543,180
1709533581757,2.0,1.2838,1.8228,9.9176,-45.657,78.033,-74.3394,66.0,63.0,-217.0,9.2,1011.17,16.99780508993672,38.26119666666666,140.85514166666667,47.51402926936089,-43.66778014613036,106.32809539368543,180
1709533581918,2.0,-1.127,-0.2646,8.5064,-10.6362,-13.850999999999999,-109.8998,54.0,53.0,-222.0,9.2,1011.2,17.247979894572055,38.26119666666666,140.85514166666667,47.51402926936089,-44.46454101443547,106.32809539368543,180
1709533582081,2.0,1.9305999999999999,1.4993999999999998,9.2904,-18.278,-4.9514,-5.3314,35.0,56.0,-216.0,9.2,1010.92,19.83347151525162,38.26119666666666,140.85514166666667,47.51402926936089,-57.9946167919165,106.32809539368543,180
1709533582247,2.0,1.3621999999999999,1.47,9.4864,-9.5456,-9.5114,-110.6066,26.0,65.0,-212.0,9.2,1011.23,19.16618641670745,38.2612,140.85514833333335,48.17794755590088,-68.19859051364818,106.55676031628997,180
1709533582399,2.0,3.9494,0.0686,9.2708,-31.8478,83.2238,-81.7646,9.0,72.0,-209.0,9.2,1011.23,16.83102522552823,38.2612,140.85514833333335,48.17794755590088,-82.8749836510982,106.55676031628997,180
1709533582532,2.0,2.3716,1.96,10.388,-31.2664,47.2378,-43.1262,-3.0,57.0,-210.0,9.2,1011.27,15.99716596410338,38.2612,140.85514833333335,48.17794755590088,86.98721249581666,106.55676031628997,180
1709533582648,2.0,2.2441999999999998,1.0877999999999999,9.947,1.4022,29.5716,-104.5266,-9.0,51.0,-220.0,9.2,1011.24,16.49747350912121,38.2612,140.85514833333335,48.17794755590088,79.99202019855866,106.55676031628997,180
1709533582809,2.0,0.1862,1.8521999999999998,9.731399999999999,-19.7562,-74.195,-110.3596,-26.0,10.0,-224.0,9.2,1011.24,16.49747350912121,38.2612,140.85514833333335,48.17794755590088,21.037511025421818,106.55676031628997,180
1709533583012,2.0,0.41159999999999997,1.176,9.3688,-25.9502,15.4698,-88.521,-31.0,-13.0,-230.0,9.1,1011.27,18.83255990086565,38.2612,140.85514833333335,48.17794755590088,-22.750976342787638,106.55676031628997,180
1709533583193,2.0,0.98,1.5484,8.7122,-6.1522,9.5418,-112.2216,-25.0,-45.0,-234.0,9.3,1011.27,16.080548885894935,38.2612,140.85514833333335,48.17794755590088,-60.94539590092286,106.55676031628997,180
